ab	Es wird ab dem 10 Januar verkauft.	Dativ		from	temporal	It will be sold from the 10th of January.
aus	Die Süßigkeiten kommen aus dem Laden.	Dativ		from	spacial	The sweets come from the shop.
bei	Ich warte bei dem Kino.	Dativ		at		I am waiting at the cinema.
dank	Dank dem Lehrer, habe ich die Prüfung geschafft.	Dativ	wenn das Nomen ohne Artikel und Adjektiv steht	thanks to		Thanks to the teacher, I passed the exam.
entgegen		Dativ	vor- oder nachgestellt	contrary to		
entsprechend		Dativ	vor- oder nachgestellt	corresponding to		
gegenüber		Dativ	vor- oder nachgestellt	opposite		
gemäß		Dativ	vor- oder nachgestellt	according to / as per		
laut	„Achtung!“ laut dem Schild.	Dativ	auch mit Genitiv	according to		“Caution!” read the sign.
mangels	Sie starb mangels dem Medikament.	Dativ		for want / lack of		She died for want of medicine.
mit	Ich studiere mit diesem Buch.	Dativ		with		I study with this book.
nach	Sie besucht mich nach dem Mittagessen.	Dativ		after	temporal	She visited me after lunch.
seit	Wir sind seit letztem Jahr geöffnet.	Dativ		since	time	We opened last year.
trotz	Trotz dem Wetter, sind wir zu Fuß gegangen.	Dativ	schriftsprachlich + Genitiv	despite		Despite the weather, we walked.
von		Dativ		from / of		
während	Während dem Krieg, war das Essen schwierig zu finden.	Dativ	schriftsprachlich + Genitiv	during		During the war, food was difficult to find.
wegen	Wegen dem Virus, müssen Alle zu Hause bleiben.	Dativ		due to		Because of the virus, everyone must stay at home.
zu	Wir gehen zum Kino.	Dativ		to		We are going to the cinema.
zufolge		Dativ	nachgestellt	after		
zuliebe		Dativ	nachgestellt			
bis		Akkusativ	nur ohne Artikel	until		
durch	Wir gehen durch die Straße.	Akkusativ		through		We walk through the street.
entlang		Akkusativ	nachgestellt, vorgestellt mit Genitiv			
für	Ich bin für die neue Gesetz.	Akkusativ		for / in favour of		I am in favour of the new law.
gegen	Er ist gegen die neue Gesetz.	Akkusativ		against / opposed to		I am opposed to the new law.
lang		Akkusativ	nachgestellt			
ohne	Ohne die Kirschen ist es keinen Schwarzwaldkuchen!	Akkusativ		without		Without the cherries it’s not a black forest gateaux!
um	Der Geschäft ist um die Ecke.	Akkusativ		around		The shop is round the corner.
an		Dativ / Akkusativ				
auf		Dativ / Akkusativ				
hinter		Dativ / Akkusativ				
in		Dativ / Akkusativ				
neben		Dativ / Akkusativ				
über		Dativ / Akkusativ				
unter		Dativ / Akkusativ				
vor		Dativ / Akkusativ				
zwischen		Dativ / Akkusativ				
angesichts		Genitiv				
anhand	Anhand des Ingenieurs war das Problem erledigt.	Genitiv		with the help of		With the help of the engineer, the problem was solved.
anlässlich		Genitiv		on the occasion of		
anstelle		Genitiv		in lieu of		
anstatt	Anstatt des Bargelds, habe ich ein Scheck erhalten.	Genitiv		instead of		Instead of the cash, I received a cheque.
aufgrund	Aufgrund des Silvesters, sind wir geschlossen.	Genitiv		due to		Due to New Year’s Eve, we are closed.
außerhalb		Genitiv		outside		
beidseits / beiderseits		Genitiv		on both sides of		
bezüglich		Genitiv		with reference to		
binnen		Genitiv		within		
dank	Dank des Zahnarztes, hat er ein schönes Lächeln.	Genitiv	mit Dativ, wenn das Nomen ohne Artikel und Adjektiv steht	thanks to		Thanks to the dentist, he had a beautiful smile.
diesseits		Genitiv		on this side		
entlang		Genitiv	vorgestellt, nachgestellt mit Akkusativ			
hinsichtlich		Genitiv		with regard to		
infolge	Infolge des Tods meiner Frau, bin ich jetzt ledig.	Genitiv		owing to		Owing to the death of my wife, I am now single.
inmitten	Ich habe sie inmitten des Gedränge verloren.	Genitiv		amid		I lost her amid the crowd.
innerhalb	Sie müssen innerhalb des Hauses bleiben.	Genitiv		within		You must stay within the house.
jenseits		Genitiv				
kraft		Genitiv		by virtue of		
laut	Laut dem Gesetz, dürfen wir nicht.	Genitiv	meist mit Dativ	according to		According to the law, we may not.
mangels		Genitiv	mit Dativ, wenn das Nomen ohne Artikel und Adjektiv steht	for want of		
mithilfe	Mithilfe des Arztes, überlebt er.	Genitiv		with the aid of		With the aid of the doctor, he survived.
mittels		Genitiv		via		
oberhalb	Ich wohne oberhalb des Ladens.	Genitiv		above		I live above the shop.
seitens		Genitiv				
trotz		Genitiv	umgangssprachlich auch mit Dativ			
ungeachtet		Genitiv				
unterhalb	Der Keller ist unterhalb des Hauses.	Genitiv		beneath / below		The cellar is below the house.
unweit	Die Stadt ist unweit meines Dorfs.	Genitiv		not far from		The town is not far from my village.
vonseiten		Genitiv				
während		Genitiv	umgangssprachlich auch mit Dativ			
wegen		Genitiv	umgangssprachlich auch mit Dativ			
zeit		Genitiv				
zugunsten		Genitiv				
zuungunsten		Genitiv				
zwecks		Genitiv				
